תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
16/07/2024 00:00:00,552.00,552.00,0.000,2.460,192.0,0.050
15/07/2024 00:00:00,553.54,553.54,0.000,2.460,192.0,0.050
14/07/2024 00:00:00,554.01,554.01,0.000,2.460,192.0,0.050
11/07/2024 00:00:00,554.09,554.09,0.000,2.460,192.0,0.050
10/07/2024 00:00:00,548.37,548.37,0.000,2.460,192.0,0.050
09/07/2024 00:00:00,549.34,549.34,0.000,2.460,192.0,0.050
08/07/2024 00:00:00,547.49,547.49,0.000,2.460,202.9,0.050
07/07/2024 00:00:00,548.81,548.81
04/07/2024 00:00:00,538.36,538.36,0.000,2.460,202.9,0.050
03/07/2024 00:00:00,534.71,534.71,0.000,2.460,202.9,0.050
02/07/2024 00:00:00,536.27,536.27,0.000,2.460,202.9,0.050
01/07/2024 00:00:00,538.60,538.60,0.000,2.460,202.9,0.050
30/06/2024 00:00:00,538.52,538.52,0.000,2.460,202.9,0.050
27/06/2024 00:00:00,534.12,534.12,0.000,2.460,202.9,0.050
26/06/2024 00:00:00,533.70,533.70,0.000,2.460,202.9,0.050
25/06/2024 00:00:00,531.66,531.66,0.000,2.460,202.9,0.050
24/06/2024 00:00:00,530.11,530.11,0.000,2.460,202.9,0.050
23/06/2024 00:00:00,529.53,529.53,0.000,2.460,202.9,0.050
20/06/2024 00:00:00,532.10,532.10,0.000,2.460,202.9,0.050
19/06/2024 00:00:00,536.25,536.25,0.000,2.460,202.9,0.050
18/06/2024 00:00:00,540.08,540.08,0.000,2.460,202.9,0.050
17/06/2024 00:00:00,543.28,543.28,0.000,2.460,202.9,0.050
16/06/2024 00:00:00,542.09,542.09,0.000,2.460,202.9,0.050
13/06/2024 00:00:00,545.36,545.36,0.000,2.460,202.9,0.050
10/06/2024 00:00:00,543.63,543.63,0.000,2.460,202.9,0.050
09/06/2024 00:00:00,545.96,545.96,0.000,2.460,214.4,0.050
06/06/2024 00:00:00,549.00,549.00,0.000,2.460,214.4,0.050
05/06/2024 00:00:00,554.10,554.10,0.000,2.460,214.4,0.050
04/06/2024 00:00:00,560.29,560.29,0.000,2.460,214.4,0.050
03/06/2024 00:00:00,563.23,563.23,0.000,2.460,214.4,0.050
02/06/2024 00:00:00,563.13,563.13,0.000,2.460,214.4,0.050
30/05/2024 00:00:00,561.07,561.07,0.000,2.460,214.4,0.050
29/05/2024 00:00:00,558.65,558.65,0.000,2.460,214.4,0.050
28/05/2024 00:00:00,558.93,558.93,0.000,2.460,214.4,0.050
27/05/2024 00:00:00,557.31,557.31,0.000,2.460,214.4,0.050
26/05/2024 00:00:00,559.08,559.08,0.000,2.460,214.4,0.050
23/05/2024 00:00:00,554.71,554.71,0.000,2.460,214.4,0.050
22/05/2024 00:00:00,554.21,554.21,0.000,2.460,214.4,0.050
21/05/2024 00:00:00,555.54,555.54,0.000,2.460,214.4,0.050
20/05/2024 00:00:00,558.31,558.31,0.000,2.460,214.4,0.050
19/05/2024 00:00:00,556.98,556.98,0.000,2.460,214.4,0.050
16/05/2024 00:00:00,560.14,560.14,0.000,2.460,214.4,0.050
15/05/2024 00:00:00,565.81,565.81,0.000,2.460,214.4,0.050
12/05/2024 00:00:00,566.55,566.55,0.000,2.460,214.4,0.050
09/05/2024 00:00:00,565.98,565.98,0.000,2.460,214.4,0.050
08/05/2024 00:00:00,566.75,566.75,0.000,2.460,215.1,0.050
07/05/2024 00:00:00,565.69,565.69,0.000,2.460,215.1,0.050
06/05/2024 00:00:00,564.16,564.16,0.000,2.460,215.1,0.050
05/05/2024 00:00:00,567.62,567.62,0.000,2.460,215.1,0.050
02/05/2024 00:00:00,564.21,564.21,0.000,2.460,215.1,0.050
01/05/2024 00:00:00,563.11,563.11,0.000,2.460,215.1,0.050
30/04/2024 00:00:00,567.62,567.62,0.000,2.460,215.1,0.050
25/04/2024 00:00:00,566.16,566.16,0.000,2.460,215.1,0.050
24/04/2024 00:00:00,566.60,566.60,0.000,2.460,215.1,0.050
